dtheta0,Nx,Ny,EIL2,delta,Energy
16.8737663630127,-86.14228285782875,3.0561825808248226,1.0,1.0,56.13357596821671
16.865304438451957,-85.99940444515573,5.825377251120275,1.0,1.0,56.13363015550196
16.856831370956712,-85.85652603248272,7.647825600612857,1.0,1.0,56.13364444258354
16.848352441056942,-85.7136476198097,9.109962220629116,1.0,1.0,56.133635689539865
16.83987204581705,-85.57076920713669,10.36737304090136,1.0,1.0,56.13368042814367
16.831384344580243,-85.42789079446369,11.484973304012177,1.0,1.0,56.13367233639678
16.822892845485185,-85.28501238179068,12.501622991141668,1.0,1.0,56.133672760505384
16.814397288895798,-85.14213396911768,13.440160530642094,1.0,1.0,56.1336772437171
16.805897558192136,-84.99925555644467,14.315920519535858,1.0,1.0,56.13368384982325
16.797393594278137,-84.85637714377165,15.139784382039188,1.0,1.0,56.13369164965868
16.78888536312192,-84.71349873109864,15.919802928114732,1.0,1.0,56.13370015758201
16.78037284304475,-84.57062031842563,16.66213062896161,1.0,1.0,56.133709104411665
16.771856018111436,-84.42774190575263,17.37159766799559,1.0,1.0,56.13371833665076
16.763339702149228,-84.28486349307961,18.052836795064085,1.0,1.0,56.13379252686678
16.75481365517593,-84.14198508040661,18.707371975454997,1.0,1.0,56.13379430505914
16.74628337237291,-83.9991066677336,19.338729243546098,1.0,1.0,56.13379749720008
16.737748824224564,-83.85622825506059,19.949105659169753,1.0,1.0,56.13380178878362
16.72920998710046,-83.71334984238757,20.540369060450644,1.0,1.0,56.13380694666727
16.72066684133139,-83.57047142971456,21.114123249416213,1.0,1.0,56.13381279436258
16.712119370726256,-83.42759301704156,21.671757506166536,1.0,1.0,56.13381920012082
16.70356756094675,-83.28471460436855,22.214484724022498,1.0,1.0,56.13382605995797
16.69501139932131,-83.14183619169555,22.74337128909598,1.0,1.0,56.133833292908314
16.68645087449829,-82.99895777902253,23.25936074009194,1.0,1.0,56.13384083527327
16.677885975875647,-82.85607936634952,23.76329272430388,1.0,1.0,56.13384863518887
16.669316693649513,-82.7132009536765,24.255918364503778,1.0,1.0,56.13385665127439
16.66074301853676,-82.57032254100349,24.737912812600147,1.0,1.0,56.13386484949929
16.652164941738135,-82.42744412833049,25.20988560575068,1.0,1.0,56.13387320243532
16.643582454645266,-82.28456571565748,25.672389270247134,1.0,1.0,56.133881686425305
16.63499554909556,-82.14168730298448,26.125926537636115,1.0,1.0,56.13389028274914
16.626404216972045,-81.99880889031147,26.57095641117518,1.0,1.0,56.13389897488989
16.617808450397845,-81.85593047763845,27.00789932837394,1.0,1.0,56.13390774925821
16.609208241633034,-81.71305206496544,27.437141556516785,1.0,1.0,56.13391659422988
16.60060358307418,-81.57017365229243,27.859038966770598,1.0,1.0,56.13392550023506
16.59199446710547,-81.42729523961941,28.27392028544057,1.0,1.0,56.13393445839305
16.583380886261207,-81.28441682694641,28.682089916755334,1.0,1.0,56.13394346149895
16.574762833100973,-81.14153841427341,29.083830393327336,1.0,1.0,56.133952503220776
